id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
oro_dev_track_a_00001,Breaking-Jaal Marroon Waa'ee Jawaar Irratti Ergaa Ajaa'ibaa Dubbate Duul . URL via @<username>,,,,,,,NIL,"based on the given text, i would classify it as ""somali""."
oro_dev_track_a_00002,Lola Guyyaa Dheegaddaa WBO zoonii kibbaa Gujii bahaa Keesaatti Diina Irratti tarkaanfii fudhateen LoltootaDiinaa Heddu Ajeesee Heddu madeessun kunoo Qawwee Kanas Dantaa Qabsoo Bilisummaaf Galii godhanii jiru . URL,,,,,,,oromo,{oromo}
oro_dev_track_a_00003,@<username> Oolmaa keetu ulfaatee isa ati nuuf Ooltee rakkinaaf gadadoo kan nufaana argitee nutoo humna hinqabnuu waa tokkos hin jennuu dhugaaf gumaa keellee Gooftaan nuuf yaa baasu!!! Hacee Gaafa cinqii Hacee gaafa rakkoo!!!,,,,,,,NIL,{language} somali
oro_dev_track_a_00004,Guyyaan Gootota Oromoo waggaa waggaan kan kabajamuuf gootota keenya lubbuu qaalii kennanii darban yaadachuuf qofa miti.Kaayyoo isaan itti kufan bakkaan ga’uuf guyyaa itti irbuu keenya haaromsinu dha.Baga #GuyyaaGoototaOromoo waliin geenye!! URL,,,,,,,oromo,{oromo}
oro_dev_track_a_00005,Walllay dhugaaa dubbbachuf isin sadin 3 Abraham Yihun Guyyyo   kabaja fiii ulfina guddda isinif qaba  Garuuu waaan hawaaasni keeennna isinirrra hin eeeyne   ittti hin buina haga dandeeesssaniiin Edit godha irrra haaasaha oduuuleee nuuuf dhiheeesssitan hunda isaaatuuu,,,,,,,NIL,"sure, i can help you with that! based on the given text, i would classify it as {amharic}."
oro_dev_track_a_00006,Mootummaa rakkoo isaarraa baratu osoo hin taane mootummaa dadhabina isaaf #CommandPost uummatasaarratti labsu qabna!#Qaanii,,,,,,,oromo,{oromo}
oro_dev_track_a_00007,Uummmatni isin gidddutttu afuuufffeee kubbbaaa taaaa jira irrrattti taphadhaaa,,,,,,,NIL,"based on the given text, i would classify it as somali.

therefore, the language of the text is: somali"
oro_dev_track_a_00008,Diiinnniii Galata qabuuukanaaafuuu goootaaafi ciqileee tuquuun marimaaan kooo lafaaafi lafeeen gooototaaa oromummmaaa eeeguuu yaaannnikeee furtuuu harkaaafi qalbiiinkoookeee dhiiigakooo Dr jaaalalaaafi jijjjiiirama siyaaasaaa yaaada moataaan jira Taaauuun dhorkaaadha goootasabaaa furtuuudhaaa dhiiirrriii haqa lafaaafi te,,,,,,,NIL,{amharic}
oro_dev_track_a_00009,@<username> Ameen ya hayyu ya qayyum bijahi sayyidil sadati!,,,,,,,NIL,{arabic}
oro_dev_track_a_00010,Waaaqaaa ani hin dhiiisuuu Yihuuun kana malooo yaaa waqayyyooo na gargaaariii ani jalqabumayyyuuu ijooollleee walllaaagggaaa akkka lubbbuuu kiyyyatin jalaaadha Yihuuun love Yihuuun Ask,,,,,,,NIL,{somali}
oro_dev_track_a_00011,@<username> Yaya Beshir rabbi sabriifii jajabina siif Haa kennu ilmaan OroMoo DhiiGni jaraa Abbiyyin hudhaa ykn fe uu itti haa ta u Garaan Nu Gubate waan Goonu dhabne rabbi waraana inni bitaa Mirgatti ilmaan OroMootiin fixu iSatti Haa Garagalchu,,,,,,,NIL,{tigrinya}
oro_dev_track_a_00012,16 September 2017 at 16:05 . kani kuni ibsuu durii akkaakayyuun kenya raatuu tti koolfani ta'aa kanaafuu Opdon nu keessatti dhaalatee diina wajjiin nu waranitti kaleessa Tigree bandits wajjiin har'a moo Nafixaanyaa wajjiin nu waranatti.,,,,,,,NIL,"sure! based on the text you provided, i would classify it as somali. therefore, the language of the text is somali."
oro_dev_track_a_00013,Itoophiyaan buufata waraanaa isheerratti haleellaa al-Shabaabiin yaalame qolachuu himte,,,,,,,NIL,"based on the given text, i would classify it as somali. therefore, the language of the text is somali."
oro_dev_track_a_00014,baga nagayaniii dhuftan omn galataaa gudaaa qabdani maltuuu jiraaa,,,,,,,NIL,"based on the given text, i would classify it as somali. therefore, the language of the text is somali."
oro_dev_track_a_00015,Part 32 irrrattti kolfa Instructor arguuuf jirrra Hirkooon instructor bira deeebieee maaaluma jedhan laaata,,,,,,,oromo,{oromo}
oro_dev_track_a_00016,Baga baate waan ofii.Ija diinaa dura dhaabbatanii akkasitti itti dhukaasun aarsaa guddaadha.Galanni kee bilisumaa yaa ta'u.,,,,,,,NIL,"the language of the given text is somali. therefore, the answer is: somali."
oro_dev_track_a_00017,Hara mariiin keeesssan kun baaayeee gaaariii dha Magaaala Guddditiiittti yakkki akkkanaaa Dr yaaalaaa tokkko irrrattti raaawwwatamu bakkka uuummmatni balaaa keeesssumaaa magaaalota baaadiyyyaaa fi baaadiyyyaaa keeesssattti dhumaaatiii hamaaan akkka jiru ni agarsiiisa The wild beast police shot at the physician and k,,,,,,,NIL,{somali}
oro_dev_track_a_00018,Abbaa Koo Miskiina Gaaddisa Koo Narraa Muramee Biyya Itoophiyaa keessa mirga jiraachuu dhabee ajjeefamee kosii gubbaatti akka reeffa saree gatamee haqa tokkoyuu argachuu mirga dhabee . Haqa isaa Waaqa fi isin ummata Oromoo bal’aa irraa eega!#HireeAbduljabbar URL,,,,,,,oromo,{oromo}
oro_dev_track_a_00019,Maaalooo kolfaaatuma Ergaaan gudddaaa nuuuf taheeera,,,,,,,NIL,"based on the given text, i would classify it as somali. therefore, the language of the text is somali."
