id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
amh_dev_track_a_00001,ሀገራችን ልዩነቶችን አምና ለመቀበል መራራ ትግል ቢጠይቃትም ዘመናት አልፋ ብዝሃነትን በተግባር ለማረጋገጥ የሚያስችል ረጅሙን ጉዞ ጀምራ ነበር፡፡ ጉዞው ብዙ ውጣ ውረድ የበዛበት ቢሆ,,,,,,,amharic,the language of the given text is amharic.
amh_dev_track_a_00002,ሞጣ ሽማግሌ የአመቱ አህያ ዘረኛ ወንዱ ከሆንክ አገር ዉስጥ ገብተህ ታገል ተጋፈጥ ዉጪ አገር ሁነህ አልጋ ስር ተደብቀህ ህዝብ ለህዝብ እሳት ትለኩሳለህ,,,,,,,amharic,"the language of the text you provided is amharic. therefore, the answer is:

{amharic}"
amh_dev_track_a_00003,የነብስ አባት ለመያዝ ይቅርና፥ ድንገት መንገድ ላይ ያገኘሁት ቄስ ይሁን ጳጳስ፥ በትግራይ ህዝብ ላይ በተደረገው የዘር ማጥፋት ወንጀል ምን ድርሻ እንደነበረው ሳላውቅ ሳላጣራ የያዘውን,,,,,,,NIL,"the language of the given text is:

{english}"
amh_dev_track_a_00004,ሰማዕታት የዚችን ዓለም ጣዕም በእውነት ናቁ፤ ደማቸውን ስለ እግዚአብሔር አፈሰሱ፤ ስለ መንግሥተ ሰማያት መራራ ሞትን ታገሱ፡፡ የኅሙስ ውዳሴ ማርያም,,,,,,,NIL,{language} somali
amh_dev_track_a_00005,የእስራኤል በደል ለፋልስጤም ብቻ አይደለም አለም ላይ ያለው ግጭት የእስራኤል እጅ አለበት ምክንያቱም አላህ የከዱ ናቸው አመፀኛ ናቸው እራስ ወዳድ ናቸው ስግብግብ ናቸው እውቀታቸውን ለተንኮል ነው የሚጠቀሙት ድል ለፋለስጢን።,,,,,,,NIL,"based on the given text, i would classify it as being written in english. the language used is consistent with english grammar and syntax, and there are no obvious signs of another language being present. therefore, my answer is {english}."
amh_dev_track_a_00006,አማራ ወላይታ ሀድያ ስልጤ ጋሞ ጉራጌ በመሆናቸው ብቻ ነው ቤታቸው እየፈረሰ ያለው ንብረታቸው ይዘረፋል ቤት ለፈረሰባቸው ቤት ማከራየት 50 ሺህ ነው ቅጣቱ እጅግ የከፋ ግፍ ነው,,,,,,,amharic,"based on the given text, i would classify it as amharic. the language of the text is most likely amharic because it contains words and phrases that are characteristic of the language, such as ""አማራ"" (amharic for ""book""), ""ወላይታ"" (amharic for ""study""), ""ሀድያ"" (amharic for ""school""), and ""በመሆናቸው"" (amharic for ""it is""). the text also uses grammatical structures that are typical of amharic. therefore, with a high degree of confidence, i would identify the language of the given text as amharic."
amh_dev_track_a_00007,አመለካከት ዝቅጠት ሰሜንን ማዳከም ሰሜን ራሱን በራሱ የሚያዳክም ነው ደረጀ በጣም አልጠበኩም,,,,,,,NIL,{english}
amh_dev_track_a_00008,አንዴንድአካባቢወች አትበይ በሁሉ አካባቢነው ጦርነቱ,,,,,,,NIL,{somali}
amh_dev_track_a_00009,የአዲስ አበባ ህዝብ ንቃ ተደራጅ መሳርያ ባገኝህው አጋጣሚ መሳርያ ገዝተህ የዝህ አይነት አረመኔን ነቅለህ አስወጣ አብይና ግብረ አበሮቹ ሰብስቦ ጅብ ለቆብሃል,,,,,,,NIL,"the language of the given text is:

{somali}"
amh_dev_track_a_00010,የኛ ቀይ ባህር ሁመራ ነው አለችኮ የለመደች ጦጣ ሁልግዜ ፍርጠጣ አለ ያገሬ ሰው ክክያንች ያልነበረን ያንች ያልሆነን መመኘት ቢቀርብሽ ጥሩ ነው  ያንች ቀይ ባህርሽ ሲሆን ለኛ ደገሞ ቀይ መስመራችን ነው ምክኒያቱም የራሳችንን እንደት አሳልፈን መስጠት ከየት የመጣ ነው እነ ቀንድ አውጣዎችም የናተ ታዛዦችም ምንም በአሁኑ ሰዓት በልጆቹ ተጋድሎ ላይመለሱ ተወግደዋል,,,,,,,amharic,the language of the text is amharic.
