id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
tir_dev_track_a_00001,ኣለቃሕቲትካላት ብዛዕባ ዕዳ ኢትዮጵያ ሎሚ ውሳነ ከመሓላልፉ ትጽቢት ይግበረሎም። ፋሽሽቲ ኣብይ ኣሕመድ ኣብዚ ንኽዕወት ነዊሕ ርሕቐት ኸይዱ እዩ። ብኣንፃሩ ዝጠፈሸ ኣመራርሓ ህወሓት,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00002,ኣብዛ ቪድዮ ዘላ ጽሕፍቲ ( ህዝባ ተበቲኑ ከይዓነወት ከላ ) ትብል ዘየስተብሃልካላ ከይትኸውን ብዛዕባ ህንጸት እንተኾይኑ ወላ ኣብ ግዜ መግዛእቲ ጥልያን ይኹን,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00003,ኣብ መቀለ ህዝቢ ብጥሜት እናሞተ ንስኹም ቀልዱ ! እቲ ዝገርም ድማ ናይ እርዳእታ እኽሊ ኣብ መኻዚኖ ተኸዚኑ እናሃለወ ሳኣን ብስርዓት ዘካፋፍሎ ስብ ይሞውት ምህላው እዩ,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00004,ስነ ጥበባዊ (ተዋሳኢ ፊልሚ) ካሕሳይ ኣስገዶም ብሃንደበታዊ ሕማም ዓሪፉ? ብፍሉይ መፃወድያ ኣብ ዝብል ተኸታታሊ ፊልሚ ዝፍለጥ ስነ ጥበባዊ ካሕሳይ ኣብ ካልኦት ስራሕ ጥበብ ትግርኛ እ,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00005,ንቐፃሊኦ ካብዚ ዝተፈለየ ንኽኾን ዓሚ ዝፈፀምናዮ ስሕተት ኣሪምና ዘሎ ኹነታት ተቐይሩ ንዓመታ ኣብ ልዕሊ ህዝቢ ኣንፀላልዩ ዘሎ ደበና ሞት ተቐንጢጡ ትግራይ ሰላምን ራህዋን ዓሲልዋ ብሓ,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00006,"""ሓኪም ዝጸሓፎ ሕሙም ከንብቦ ምሉእ መሰል ኣለዎ""፡ ዶክተር ናሆም ግሩም",,,,,,,tigrinya,tigrinya
tir_dev_track_a_00007,ካብ ኣመሓዳሪ ዞባ ማእከል ናይ ሰራዊት ክክ እንታይ ዝበለ ንዕቀት እዩ በጃኩም ገለ እባ በሉ ኣቱም ልሙሳት ኣገልገልቲ ወዲ ተምቤን,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00008,እቲ ኣብ ልዕሊ ትግራይ ዝተፈፀመን ዝፍፀምን ዘሎ ግፍዒ ብሂትለር ኣብዪ ጥራሕ ከይኮነስ ካብ ጥንቱ ጒሓቱ እቲ ለውጢ ክፍንዳእ ከሎ ጀሚሩ ንህዝቢ ትግራይን ንምንብርካኽን ድልየት ናይ ዘይነዓቑ ሓይልታት ኢትዮጵያን መሻርኽቶምን ኢዩየትግራይ በላይነት ዘይብል ዝነበረ ኣይነበረንናብዚ ሕጂ ዘለናሉ ሽግር ንኽንኣቱ ኦሮሞ ዝብሃል ስሩ መሰረቱ ዘይፍለጥ ዕላምኡን መትከሉን ዘይፍለጥ ንህዝቢ ትግራይ ንምንብርካኽ ምስቶም እንኮ ፀላእቱ  ተሻሪኹ ሃገር ኣ,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00009,ትምኒተይ ኣደይ ማርያም ብሰላም ትገላገልኪ,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00010,ካብ ደቂ ደደቢት እሞ እንታይ ቁም ነገር ከይርከቦዩ ብጀካ ስርቅን ቅትለትን፡ ብደደቢትን በቲ ደደብ ድዮም ዝብሉ ኣምሓሩ፡ መዓንፎ ዝኾነ መራሕ,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00011,ህዝቢ ትግራይ ንምፅናትን ትግራይ ንምዕናውን ዓሊሞም ደመኛታት ፀላእቲ ህዝቢ ትግራይ ን2ይ ግዜ ወራር ፅንተት ዝኸፈትሉ ምኽንያት ውደቅት መሪሕነት ፖለቲካ ትግራይ ኣብ ግምት ብምእታው,,,,,,,tigrinya,tigrinya
tir_dev_track_a_00012,ትግርኛ ተናገርቲ በዓል ጋዜጠኛ Freweyni ለ ብetv ይሰርሓሉ አሉዋ። እቲ ዝገርም ግን ገለ ለዋሃት ተጋሩ ከህወሓት ዝተቃወሙ እናመሰሎም አብ ሓደ ጠንኪርና ከይንቃለስ ምግባርም ካልአይ ሞት,,,,,,,tigrinya,tigrinya
