id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
deu_dev_track_a_00001,"Hallo. Ich habe gerade eben erst bemerkt, dass euer Beitrag leider im Spam-Filter gelandet ist. Musste ihn erst von Hand freischalten, daher taucht er jetzt erst hier auf. Grüße",,,,,,,NIL,{language} english
deu_dev_track_a_00002,"as für eine lächerliche Demonstration. Irgendwelche jungen Frauen, die komplett verhüllt werden, demonstrieren für die Freiheit des Individuums? Dass ich nicht lache.",,,,,,,german,{german}
deu_dev_track_a_00003,sinne sind betäubt weil zu viel in mei’m Glas war.,,,,,,,german,"based on the given text, i would classify it as german.
therefore, the language of the text is {german}."
deu_dev_track_a_00004,Aber es könnte noch schlechter laufen.  Es läuft nicht schlecht genug.,,,,,,,german,{german}
deu_dev_track_a_00005,Für jeder Besatzung gibt es wieder stand und echter Kämpfer die niemals aufgeben . Was erwartet man von Menschen die unterdrückt werden und alles von den weggenommen wird ?,,,,,,,german,"given the text provided, i can confidently classify it as german. therefore, the language of the text is {german}."
deu_dev_track_a_00006,"Ich war bis zur 16.ssw fast dauerhaft krankgeschrieben. Ich bin zwischendurch immer mal ein paar Tage arbeiten gewesen, weil es mir da einigermaßen gut ging. Hielt aber selten eine Woche am Stück durch. Ab der 17.ssw war ich dann im Beschäftigungsverbot.",,,,,,,german,{german}
deu_dev_track_a_00007,Meinen jetzigen Chef habe ich auf einer Demo gegen Masken für Kinder kennengelernt. 😁,,,,,,,german,{german}
deu_dev_track_a_00008,"Hast du durch die Therapien bleibende ""Schäden"" erhalten. Ich habe einen Bekannten welcher lange nach der Krebstherapie ein aufgedunsenes Gesicht hat und ab und zu Blaue Flecken auf der karlen Kopfhaut. Habe mich ihm gegenüber nie getraut zu fragen warum weshalb und was das ist. Vielleicht hast du ja mehr Ideen dazu oder ähnliche Langzeitfolgen",,,,,,,german,{german}
deu_dev_track_a_00009,Ich hab lange Zeit im Kindergarten gearbeitet und teilweise ging die Warteliste bis auf 2 Jahre Wartezeit hoch.  An alle werdenden Eltern :  Am besten sucht ihr direkt nach der Geburt nach einem kita/Krippenplatz und tragt euch ggf in Wartelisten ein.,,,,,,,german,{german}
deu_dev_track_a_00010,"Gaza hat der Welt schon längst bewiesen, dass es keine ""zivilisierte Nationen"" gibt, und Israel war noch nie ""zivilisiert"", um sich aus dem Kreis der ""Zivilisierten"" auszuschließen.",,,,,,,german,i have classified the given text as german.
deu_dev_track_a_00011,"Heyi,  respekt das du darüber reden möchtest, das muss dich viel Mut kosten. Schön das du so vielleicht anderen zeigen kannst das sie nicht alleine sind. Finde ich Klasse von dir.  Es tut mir natürlich leid für dich :/ Ich hoffe du kommst irgendwann damit klar.  Wie fühlst du dich in der Therapie? Ist sie begleitend mit Medikamenten ?  Hast du auch noch Flashbacks? Wissen es Freunde/Familie oder erzählst du es neuen Bekannten?  Traust du dich neue Freundschaften zu knüpfen?  Wünsche dir viel Kraft unbekannterweise",,,,,,,NIL,{language} english
deu_dev_track_a_00012,"Das übliche halt: wie ist dein Brutto, Urlaub und gibt es ein 13. oder gar 14. Gehalt?",,,,,,,german,{german}
deu_dev_track_a_00013,"Falls ihr Fragen zum Thema Alzheimer habt, wie es den Betroffenen und die Umgebung beeinflusst oder Ähnliches - AMA.  Ich habe (leider?) viel Erfahrungen sammeln können mit dem Thema, seit mein Opa die Diagnose Alzheimer bekommen hat. Es war ein seehr schleichender Prozess, bis er zum totalen Pflegefall im Altenheim geworden ist. (Kein Reden, kein Essen, ...). Er ist schließlich am Geburtstag meiner Oma verstorben (meine Oma hat sich immer schon gewünscht, dass er erlöst wird).",,,,,,,NIL,{english}
deu_dev_track_a_00014,Ok Gott hat die Welt erschaffen aber der Teufel die schönen Dinge auf der Welt,,,,,,,german,{german}
deu_dev_track_a_00015,prime video ka ob es wo anders gibt :3,,,,,,,german,{german}
deu_dev_track_a_00016,"Absolute Katastrophe, dass die Regierung das einfach nicht hinbekommt. Die Menschen müssen beim Klimaschutz mitgenommen werden, auch finanziell!",,,,,,,german,german
deu_dev_track_a_00017,danke danke danke Leute für eure Kommentare 💪💪💪 gegen Krieg und militärische Besatzung zu protestieren ist kein Antisemitismus!,,,,,,,german,{language: german}
deu_dev_track_a_00018,Ziemlich Cringe ehrlich gesagt. Von so einem Verhalten hab ich noch nie gehört.,,,,,,,german,{german}
deu_dev_track_a_00019,"Ja, wie so gut wie jedes Jahr nach der Schulzeit und stört mich auch relativ wenig. Ruhe genießen und Batterien aufladen.",,,,,,,german,"{language}
german"
deu_dev_track_a_00020,"Danke für das ama: 1. Deutschland ist ein Einwanderungsland. Keine Frage. Wie sollte die deutsche Einwanderungspolitik deiner Meinung aussehen. Wie sollen wir mit Flüchtlingen umgehen. Welche bürokratischen""Regeln"" , die Flüchtlingen auferlegt werden, würdest du kritisieren/befürworten... 2. Als was arbeitest du? 3. Wie stehst du zum berühmtesten Sohn Dagestans, Hasbullah? 4. Besitzt du ein Lieblingsgericht in Deutschland? 5.Was sollte man deiner Meinung nach mit Flüchtlingen tun, die allen Regeln befolgen. Inwiefern sollten sie belohnt werden? Was sollte man mit ausländischen Gewalttätern tun. 6.Welche Nationalitäten befinden sich in deinem Freundeskreis?",,,,,,,german,"{german}

for language identification, i would classify the given text as german. the use of words and phrases such as ""einwanderungsland,"" ""flüchtlingen,"" ""bürokratischen regeln,"" and ""berühmtester sohn"" are indicative of the german language. additionally, the sentence structure and grammar used in the text are consistent with the conventions of the german language."
deu_dev_track_a_00021,Wer AfD wählt gehört nicht zu Deutschland.,,,,,,,german,{german}
