id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
sun_dev_track_a_00001,"Aa aa salam kenal nya,ti abi 🙋 sumpah kot piseurieun 😂😂😂lucuu . Sing sukses nya aa aa😊👌",,,,,,,NIL,"based on the given text, i would classify it as... {afrikaans}"
sun_dev_track_a_00002,"#Fauzi88Chanel hadir mang ti bogor kulon,Leuwiliang hebat deuh nu rek konser,tpi punten teu tiasa datang ka bandung,tebih euy ngadukung wae mang Dana",,,,,,,NIL,"based on the given text, i would classify it as indonesian. therefore, the language of the text is {indonesian}."
sun_dev_track_a_00003,Aslina ngakak kang. Teruskeun part salanjutna 🔥🔥🔥,,,,,,,NIL,{language} south african
sun_dev_track_a_00004,"Artis,artis naon nu resep lauk? Jawab:kucinta tuna.😎😎😂",,,,,,,NIL,"based on the given text, i would classify it as malay (or bahasa melayu in malaysia and singapore).

{malay}"
sun_dev_track_a_00005,"Awas mang tong hilap nya ka Bogor. Mun hante urang di adu, getih Sunda yeh. hahaha salam goblog",,,,,,,NIL,"based on the given text, i would classify it as indonesian. therefore, the language of the text is {indonesian}."
sun_dev_track_a_00006,"Ceuk urang mah jelema goblog teh "" dahar bubur di sanguan""😂😂😂",,,,,,,NIL,"{language}
bahasa indonesia"
sun_dev_track_a_00007,Kang tanyakeun ka ghina atos aya kabogoh acan? 😂,,,,,,,NIL,"🤔 hmm, interesting! based on the given text, i would say that the language is... 🇳🇬 nigerian (yoruba)."
sun_dev_track_a_00008,Carita awalna kumaha jol jd youtuber teh mang?,,,,,,,NIL,"based on the given text, i would classify it as {oromo}."
sun_dev_track_a_00009,2:37 Uyuhan teu ti Jungkeul oge eta si aa na 🤣,,,,,,,NIL,"the language of the given text is:

oromo"
sun_dev_track_a_00010,"Alhamdulillah mang bisa d ajak maen film, lanjutkeun mang sing SUKSES 👍👍 tong hilap kana basa SUNDA na d lestarikeun",,,,,,,NIL,{language} bahasa indonesia
sun_dev_track_a_00011,"Awak joged, tp hate ambyar, bari jeung teu paham lirik :(",,,,,,,NIL,"based on the given text, i would classify the language as ""bahasa indonesia""."
sun_dev_track_a_00012,A=jang naha mundur😓 B=percuma maju ge di tikung wae😟 A=sabar nya jang 😢 🚶🚶🚶Lagu; Urang mundur lalaunan urang sadar urang saha #salam_ti Cibadak Bandung,,,,,,,NIL,{bahasa indonesia}
sun_dev_track_a_00013,"Anak betawi gak sabar nih, ngadangokeun",,,,,,,NIL,"based on the given text, i would classify it as {bahasa indonesia}."
sun_dev_track_a_00014,Abi mah resep di kampung tapi nu sinyal na 5g aya teu nya ? 😅,,,,,,,NIL,"based on the given text, i would classify it as {bahasa indonesia}."
sun_dev_track_a_00015,Adeuh meni genaheun pisan ti cimahi ngarojong,,,,,,,NIL,"based on the text you provided, i would classify the language as ""amharic""."
sun_dev_track_a_00016,Aya nu ngadengekeun di tahun 2020?😂,,,,,,,NIL,{language} english
sun_dev_track_a_00017,0:52 pas pisan jg kaayaan urang ayna😞,,,,,,,NIL,"based on the text you provided, i would classify the language as ""somali""."
sun_dev_track_a_00018,Bnrrr ieu mah banyak a NU kasar,,,,,,,NIL,"based on the given text, i would classify it as {bahasa indonesia}."
sun_dev_track_a_00019,Anu Sunda nteu bisa bahasa Sunda saha?? 🖐️😂,,,,,,,NIL,{bahasa indonesia}
sun_dev_track_a_00020,Anjirrrr urang tinggaleun kitu ieu euy,,,,,,,NIL,"i have analyzed the given text and based on my language classification algorithms, i believe the language of the text is ""somali"". therefore, the answer is:

{somali}"
sun_dev_track_a_00021,"Alhamdulillah mang, wah terharu pisan ningalina ke ge bakal ngalaman nu kawas kitu. Mugia disehatkeun mang dilancarkeun rezekina 😁",,,,,,,NIL,"based on the given text, i would classify it as {somali}."
sun_dev_track_a_00022,"Aduh ieuh kenangan terindah u di lakuken ker smp,",,,,,,,NIL,"based on the given text, i would classify it as malay. the language of the text is {malay}."
sun_dev_track_a_00023,Aya cai ker mandi Aya jamban di palih ditu Ai sedih ka abdi Ai jadianana jeng si itu,,,,,,,NIL,"based on the given text, i would classify the language as indonesian. therefore, the language of the text is {indonesian}."
sun_dev_track_a_00024,"Aduhh si dede"" piraku jomblo mang taun taun kuat.puasa sa bulan teu kuat, ""🤣🤣 haturan mang fiksi di antos kaos urang sunda na.nu benten warna na hee",,,,,,,NIL,"based on the given text, i would classify it as indonesian. therefore, the language of the text is {indonesian}."
