id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
som_dev_track_a_00001,USER Mudane Wasssir Waxaaan Rabaaa in aaan Kusooo diro barnaaamuj horumarinta Wasssaradadada Fadlan Emailkaaas igala sooo xidhiiidh mahadsanid Wasssir,,,,,,,somali,"sure, i can help you with that! based on the text you provided, i would classify it as somali.

{somali}"
som_dev_track_a_00002,mashalah mashalahfarxad bafanaaa wa oooyay walahi farxad tarteee,,,,,,,NIL,"based on the given text, i would classify it as {arabic}."
som_dev_track_a_00003,Weerarkii Capitol: Ma laga yaabaa in Trump xilka laga qaado kahor inta uusan Aqalka Cad ka tegin?,,,,,,,somali,"the language of the given text is somali. therefore, the answer is {somali}."
som_dev_track_a_00004,Mx dhacay Cumarow oood uxidhaysa chanalkan,,,,,,,somali,"based on the given text, i would classify it as ""somali""."
som_dev_track_a_00005,Subxanalllha subxanalllha dadkn cawanka ah eee xabadaaa ISKA furaya ilhy haw gargaaari miskiiinta yar ax ax walllhi waaan oooyay 😭😭😭,,,,,,,somali,"sure, i can help you with that! based on the given text, i would classify it as... somali! 🇸🇴"
som_dev_track_a_00006,USER Siyaaasada Sland waaa lagu saaaqidaaa  waaa kaaa odaygiii afar xaraf isku tooosin waaayay  siduuu caqliga umadiiisa ugu ciyaaarayay ayuuu ismasaxay faysalaw abti dadkiii way ku naceeen intaaanad adigu isnicin camal kale raaadso  afxumadiii grammmar xuma ku raaacday,,,,,,,somali,{somali}
som_dev_track_a_00007,USER Wax walpa ooo reeer galpeeed ka gadal kasooo riiixa waaa laga guuuleysana waaa shaki la aaan taaasi,,,,,,,somali,"based on the provided text, i would classify it as somali. therefore, the language of the text is {somali}."
som_dev_track_a_00008,Ilahey naguma kene ninka ilama heyga dhib ugeysta walal dawlad ba iga qabten walal qabil nolasha wan nacsin laha ilahay bu ka bargi laha dhimasho dag daga inu ukeno nocas sè waldka damir ku usinayan iney ku dhafan ilamad ilma hoga uf uf uf uf,,,,,,,somali,"based on the given text, i would classify it as:

{somali}"
som_dev_track_a_00009,Wax ka ogow khatarta ku hoos jirta caado-wareerka,,,,,,,somali,"based on the given text, i would classify it as somali. therefore, the language of the text is somali."
som_dev_track_a_00010,Asc wlll kusooo dhawooow shirkada forever living product iyo fursad ganacsi ooo dahabi ah taaas   Oo aaad kaga faaa.ideeesankarto adooo gurigaaaga jooogo Haaa hadady tahay sooo raaac linkiga htttps:///chat.whatsappp.com/E2EnWoi1LWHGsWcbMFDQCA,,,,,,,NIL,{afrikaans}
