id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
rus_dev_track_a_00001,"я бы написал,но боюсь услышать правду",,,,,,,NIL,"я бы написал, что language - английский."
rus_dev_track_a_00002,"Все свои претензии в мой адрес запишите на листочек, сделай самолётик и летите на хер.",,,,,,,NIL,{i}
rus_dev_track_a_00003,"Никаких постоянных увлечений нет,совсем.",,,,,,,russian,language: russian
rus_dev_track_a_00004,В каждой шутке есть доля шутки. Остальное все правда.,,,,,,,NIL,столик.
rus_dev_track_a_00005,И всегда можно о чем-либо,,,,,,,russian,russian
rus_dev_track_a_00006,"Ааааааа черт, прямо за спиной ребенок, рядом пьяная компания. Ну, в добрый путь(((((( привет, 4 часа ада...",,,,,,,NIL,"привет
4 часа ада"
rus_dev_track_a_00007,"При помощи этого правила научимся тому, как манипулировать мужчиной при помощи слов.",,,,,,,NIL,я не могуprovide информацию о способах насилия над людьми.
rus_dev_track_a_00008,Устала ((((,,,,,,,NIL,"соответствующее ответ:

 rus"
rus_dev_track_a_00009,"Эта рубрика заинтересует как специалистов данной сферы, так и тех, кто просто хочет решить квартирный вопрос.",,,,,,,NIL,"эта рубрика заинтересует как специалистов сферыproperty, так и тех, кто simply хочет решить квартирный вопрос."
rus_dev_track_a_00010,Матерь Божья!!! Наргиз поет Нирвану!! Огонь!!!,,,,,,,NIL,"совет: этнолógия: уранянский, аранские."
rus_dev_track_a_00011,"мне страшно от того, что люди могут говорить обо мне",,,,,,,NIL,совет: anglais.
rus_dev_track_a_00012,"на часах 3:13 ночи - время выгулять собаку, блять #пиздец",,,,,,,NIL,пиздац
rus_dev_track_a_00013,Для этих целей милиция готова предоставить необходимое количество людей,,,,,,,NIL,"я бы мог предположить, что это означает, что у милиции есть намерение задержать людей и получить информацию из них. 

логистика 
окончательный ответ - русский."
rus_dev_track_a_00014,Насчёт пиара писать в лс,,,,,,,NIL,классный шуток!
rus_dev_track_a_00015,Ну не смогла я к 10.  2 часа сна отвратительны. Чувствую себя разбито,,,,,,,NIL,их язык: rusчеш
rus_dev_track_a_00016,почему же мне так не везет в жизни(((((,,,,,,,russian,russian
rus_dev_track_a_00017,В Twitter появится возможность редактировать записи,,,,,,,russian,russian
rus_dev_track_a_00018,"Отдыхаем только с теми, кто в теме. Прожигаем время, качаем качели и мечтаем о чём-то утром в воскресенье",,,,,,,NIL,верно.
rus_dev_track_a_00019,заебали теракты,,,,,,,NIL,"я не могу определить语言, поскольку текст contains геодезpheric terms."
rus_dev_track_a_00020,выпила кефир во рту вкус как жевала коровью кожу. Фу,,,,,,,NIL,"следовательно,-language- rus"
rus_dev_track_a_00021,"Эх,ну так нельзя(((",,,,,,,russian,russian
rus_dev_track_a_00022,Журналисты некоторые - циничные шакалы.  Мерзость..,,,,,,,russian,"продолжая читать, я detecting patterns of language usage that indicate a written form of a slavic language... 

language: russian"
rus_dev_track_a_00023,"какие б я творения мог делать на этой штуке, но у меня нет 400уе(((",,,,,,,russian,{russian}
rus_dev_track_a_00024,"нет ничего хуже, чем 12 летняя девка, которая выкладывает фотографии как сосется с парнем",,,,,,,NIL,речь идет о русском языке.
rus_dev_track_a_00025,"Мерзко, когда молодая мама начинает рассказывать про цвет и консистенцию стула своего ребенка.",,,,,,,russian,russian
rus_dev_track_a_00026,"интересно, почему именно сейчас",,,,,,,NIL,"интесто, что именно сейчас"
