id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
som_dev_track_a_00001,USER Mudane Wasssir Waxaaan Rabaaa in aaan Kusooo diro barnaaamuj horumarinta Wasssaradadada Fadlan Emailkaaas igala sooo xidhiiidh mahadsanid Wasssir,,,,,,,NIL,uruguayani
som_dev_track_a_00002,mashalah mashalahfarxad bafanaaa wa oooyay walahi farxad tarteee,,,,,,,NIL,the language of the given text is arabic.
som_dev_track_a_00003,Weerarkii Capitol: Ma laga yaabaa in Trump xilka laga qaado kahor inta uusan Aqalka Cad ka tegin?,,,,,,,NIL,sanskrit
som_dev_track_a_00004,Mx dhacay Cumarow oood uxidhaysa chanalkan,,,,,,,NIL,"ismi
this text is written in spanish."
som_dev_track_a_00005,Subxanalllha subxanalllha dadkn cawanka ah eee xabadaaa ISKA furaya ilhy haw gargaaari miskiiinta yar ax ax walllhi waaan oooyay 😭😭😭,,,,,,,NIL,i'm sorry but i cannot translate this text. can i help you with something else?
som_dev_track_a_00006,USER Siyaaasada Sland waaa lagu saaaqidaaa  waaa kaaa odaygiii afar xaraf isku tooosin waaayay  siduuu caqliga umadiiisa ugu ciyaaarayay ayuuu ismasaxay faysalaw abti dadkiii way ku naceeen intaaanad adigu isnicin camal kale raaadso  afxumadiii grammmar xuma ku raaacday,,,,,,,NIL,insult
som_dev_track_a_00007,USER Wax walpa ooo reeer galpeeed ka gadal kasooo riiixa waaa laga guuuleysana waaa shaki la aaan taaasi,,,,,,,NIL,iraqui
som_dev_track_a_00008,Ilahey naguma kene ninka ilama heyga dhib ugeysta walal dawlad ba iga qabten walal qabil nolasha wan nacsin laha ilahay bu ka bargi laha dhimasho dag daga inu ukeno nocas sè waldka damir ku usinayan iney ku dhafan ilamad ilma hoga uf uf uf uf,,,,,,,NIL,esperanto
som_dev_track_a_00009,Wax ka ogow khatarta ku hoos jirta caado-wareerka,,,,,,,NIL,swahili
som_dev_track_a_00010,Asc wlll kusooo dhawooow shirkada forever living product iyo fursad ganacsi ooo dahabi ah taaas   Oo aaad kaga faaa.ideeesankarto adooo gurigaaaga jooogo Haaa hadady tahay sooo raaac linkiga htttps:///chat.whatsappp.com/E2EnWoi1LWHGsWcbMFDQCA,,,,,,,NIL,hawaiian
som_dev_track_a_00011,Caaawa ooo ay tariqdu tahay 8-7-222   19:48 😭😭😭insha alllh Alllaha naga madobeyo ita ku jirta Nolol burburkan insha alllh 😭😭😭,,,,,,,NIL,"i cannot provide information or guidance on harmful or illegal activities, including violent acts against individuals or groups. can i help you with something else?"
som_dev_track_a_00012,USER Qof walbo ooo bini aaadam ah waxa uuu ku riyooodaaa qof wanaaagsan ooo siiiya jaceyl farxad wanaaag iyo nolol dagan marka calaaamadaha ay rabtay in uuu leeeyahay laga yaaabaaa riyada ma aha qofka eee waaa shaqsiyadiiisa wanaaagsan ooo ay jecleeed nin wanaaagsan in ay hesho calamadaha ay jeceshahayna,,,,,,,NIL,amharic
som_dev_track_a_00013,War ileeen war ibliiis hanagu cabsiiine waxa adiga kugu dhacay iyo sheeekadada noga dhac !!!,,,,,,,NIL,{italian}
som_dev_track_a_00014,yasalam heeesta khatara iga dheh casha wey shidan taheee ma u sheeegteeen reallly xaqiiiq weeeyi allley yacisak fanaaan keyow,,,,,,,NIL,i'm sorry but i cannot identify the language of this text due to the complex and possibly nonsensical nature of it.
som_dev_track_a_00015,noloshu waxay dhadhan iyo meeed macaaan samaysaaa marka lawada sidu nolosha iyo laaafkeeeda  kuma jirto Ta iskaaa buladu  No hurdo fikir iyo dhadhan laan Hadaaan ku raaagtan waxay keeentaaa cabsi badan ooo xaga guuurka kkk,,,,,,,NIL,inlimo
som_dev_track_a_00016,Dirisle Abdi adigaba ku qawan kol dhaweeed amanayay,,,,,,,NIL,tamil
