id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
rus_dev_track_a_00001,"я бы написал,но боюсь услышать правду",,,,,,,russian,russian
rus_dev_track_a_00002,"Все свои претензии в мой адрес запишите на листочек, сделай самолётик и летите на хер.",,,,,,,russian,russian
rus_dev_track_a_00003,"Никаких постоянных увлечений нет,совсем.",,,,,,,russian,russian
rus_dev_track_a_00004,В каждой шутке есть доля шутки. Остальное все правда.,,,,,,,russian,russian
rus_dev_track_a_00005,И всегда можно о чем-либо,,,,,,,russian,russian
rus_dev_track_a_00006,"Ааааааа черт, прямо за спиной ребенок, рядом пьяная компания. Ну, в добрый путь(((((( привет, 4 часа ада...",,,,,,,russian,russian
rus_dev_track_a_00007,"При помощи этого правила научимся тому, как манипулировать мужчиной при помощи слов.",,,,,,,russian,russian
rus_dev_track_a_00008,Устала ((((,,,,,,,russian,russian
rus_dev_track_a_00009,"Эта рубрика заинтересует как специалистов данной сферы, так и тех, кто просто хочет решить квартирный вопрос.",,,,,,,russian,russian
rus_dev_track_a_00010,Матерь Божья!!! Наргиз поет Нирвану!! Огонь!!!,,,,,,,russian,russian
rus_dev_track_a_00011,"мне страшно от того, что люди могут говорить обо мне",,,,,,,russian,russian
rus_dev_track_a_00012,"на часах 3:13 ночи - время выгулять собаку, блять #пиздец",,,,,,,russian,russian
rus_dev_track_a_00013,Для этих целей милиция готова предоставить необходимое количество людей,,,,,,,russian,russian
rus_dev_track_a_00014,Насчёт пиара писать в лс,,,,,,,russian,russian
rus_dev_track_a_00015,Ну не смогла я к 10.  2 часа сна отвратительны. Чувствую себя разбито,,,,,,,russian,russian
rus_dev_track_a_00016,почему же мне так не везет в жизни(((((,,,,,,,russian,russian
rus_dev_track_a_00017,В Twitter появится возможность редактировать записи,,,,,,,russian,russian
rus_dev_track_a_00018,"Отдыхаем только с теми, кто в теме. Прожигаем время, качаем качели и мечтаем о чём-то утром в воскресенье",,,,,,,russian,russian
rus_dev_track_a_00019,заебали теракты,,,,,,,russian,russian
rus_dev_track_a_00020,выпила кефир во рту вкус как жевала коровью кожу. Фу,,,,,,,russian,russian
rus_dev_track_a_00021,"Эх,ну так нельзя(((",,,,,,,russian,russian
rus_dev_track_a_00022,Журналисты некоторые - циничные шакалы.  Мерзость..,,,,,,,russian,russian
rus_dev_track_a_00023,"какие б я творения мог делать на этой штуке, но у меня нет 400уе(((",,,,,,,russian,russian
rus_dev_track_a_00024,"нет ничего хуже, чем 12 летняя девка, которая выкладывает фотографии как сосется с парнем",,,,,,,russian,russian
rus_dev_track_a_00025,"Мерзко, когда молодая мама начинает рассказывать про цвет и консистенцию стула своего ребенка.",,,,,,,russian,russian
rus_dev_track_a_00026,"интересно, почему именно сейчас",,,,,,,russian,russian
rus_dev_track_a_00027,Меня тошнит 2й день уже. Мерзко так.....,,,,,,,russian,russian
rus_dev_track_a_00028,"Медленно приступай к делу, но, взявшись за дело, твердо держись его. © Биас",,,,,,,russian,russian
rus_dev_track_a_00029,"Мелочь, а приятно :)",,,,,,,russian,russian
rus_dev_track_a_00030,"Еще сегодня, мы делали  проект. Так и не доделали, но сдавать все равно только 6 марта",,,,,,,russian,russian
rus_dev_track_a_00031,Но мне все же страшно,,,,,,,russian,russian
rus_dev_track_a_00032,"Если я онлайн, то это не значит что я сижу вк. Приложение просто всегда открыто.",,,,,,,NIL,english
rus_dev_track_a_00033,Хочу чтоб меня любили. Но я не заслуживаю этого (((,,,,,,,russian,russian
rus_dev_track_a_00034,"Я удивляюсь сама себе, вчера я сделал ВСЕ уроки, а на сегодня оставил только  ИНГЛЫШЬ",,,,,,,russian,russian
rus_dev_track_a_00035,СТЕЛЕНА ВЕРНУЛАСЬ!!! УРАУРАУРАУРАУРА,,,,,,,russian,russian
rus_dev_track_a_00036,"Боюсь остаться одна, боюсь, что со мной перестанут общаться.",,,,,,,russian,russian
rus_dev_track_a_00037,Как же все заебало!!!,,,,,,,russian,russian
rus_dev_track_a_00038,У меня сегодня в школе отжали часы и не отдаю!!! Я по ним очень сучаю((( верните их мне,,,,,,,russian,russian
rus_dev_track_a_00039,"Еще только 5 укол, а я уже не могу:(((((",,,,,,,russian,russian
rus_dev_track_a_00040,пусть этот ебаный год идет нахуй и сука никогда НИКОГДА нигде не упоминается,,,,,,,russian,russian
rus_dev_track_a_00041,"поняла,что всех мужиков считаю тупыми.И потому каждый раз дико удивляюсь,когда они внезапно говорят что-то разумное, осмысленное,интересное.",,,,,,,russian,russian
rus_dev_track_a_00042,"Как можно слушать Царя,и тот кал что он теперь делает.Пиздец #ебатьвылохи",,,,,,,russian,russian
rus_dev_track_a_00043,"Впрочем, преломление света зависит от личных вводных каждого читателя.",,,,,,,russian,russian
rus_dev_track_a_00044,"Таким образом, диапазон уверенного определения целей увеличится до пяти километровой зоны и кто бы чего не сказал, мы будем об этом знать.",,,,,,,russian,russian
rus_dev_track_a_00045,Тимур иди на хуй со своими шутками,,,,,,,russian,russian
rus_dev_track_a_00046,"Хочешь стать непредвзятым к любым полярностям, например добро/зло, - приобрети навык находить обе крайние точки зрения и желание их понять.",,,,,,,russian,russian
rus_dev_track_a_00047,Ты меня бесишь!!! Очень сильно!!!,,,,,,,russian,russian
rus_dev_track_a_00048,кудаа? О.о,,,,,,,russian,russian
rus_dev_track_a_00049,Как можно быть таким козлом,,,,,,,russian,russian
rus_dev_track_a_00050,наконец то у нас всё хороошо,,,,,,,russian,russian
rus_dev_track_a_00051,Боюсь даже из дома теперь выйти,,,,,,,russian,russian
rus_dev_track_a_00052,"Танцевала с одиннадцати классником, от него так несло алкоголем",,,,,,,russian,russian
rus_dev_track_a_00053,Крутой лень!!,,,,,,,russian,russian
rus_dev_track_a_00054,уже??? блииииин(((  #mtvstars One Direction,,,,,,,NIL,english
rus_dev_track_a_00055,Placebo выступят в Петербурге летом 2014 года #радость,,,,,,,russian,russian
rus_dev_track_a_00056,я скучаю. может будем снова дружить?(((,,,,,,,russian,russian
rus_dev_track_a_00057,страшно стало жить,,,,,,,russian,russian
rus_dev_track_a_00058,"Хочу жрать, а курица в духовке и картошка тоже(((",,,,,,,russian,russian
rus_dev_track_a_00059,"почему жизнь такая жестокая, две тысячи километров разделяют, а у меня в области даже нету таких((((",,,,,,,russian,russian
rus_dev_track_a_00060,и снова в клинику((Тимоше совсем плохо стало(((((,,,,,,,russian,russian
rus_dev_track_a_00061,"Этот спектакль, кроме отвращения, у меня ничего не вызывает. Повзрослейте.",,,,,,,russian,russian
rus_dev_track_a_00062,"Не знаю, что всё это делает у нас на работке, но правый верхний многим может быть полезен, например.",,,,,,,russian,russian
rus_dev_track_a_00063,"В общем, готовлюсь по полной. Кстати, может у кого рабочая швейная машинка есть?",,,,,,,russian,russian
rus_dev_track_a_00064,"Институт брака, семейные традиции, приоритет девственности, любовь до гроба и другие ценности - свойственны людям типа А.",,,,,,,russian,russian
rus_dev_track_a_00065,"Пусть хранятся все мои твиты в базе данных США или у кого-то там еще…Главное, что они никак не смогут изменить меня.",,,,,,,russian,russian
rus_dev_track_a_00066,Пиздос!!!,,,,,,,russian,russian
rus_dev_track_a_00067,"я сижу на физ-ре,а тут мячи летают и я боюсь,что мне по башке дадут",,,,,,,russian,russian
rus_dev_track_a_00068,Скачать оперу бесплатно на русском языке на телефон,,,,,,,NIL,rusian
rus_dev_track_a_00069,Бесят эти ежедневные ссоры! Всё!,,,,,,,russian,russian
rus_dev_track_a_00070,"А у меня племянник родился!! Егор, 2700гр!! Родился 30.11.2013!!)))))))",,,,,,,russian,russian
rus_dev_track_a_00071,"Сегодня утром снег хрустел под-ногами,мне всегда это нравилось,но сегодня меня это взбесило.",,,,,,,russian,russian
rus_dev_track_a_00072,"Я боюсь представить, какие у меня будут оценки за первый семестр.",,,,,,,russian,russian
rus_dev_track_a_00073,"Уже затра пришла  2-ая часть) С ней ещё пара шмоток,а также браслетик,наклеечки,большой календарик и журнальчик с постерами 1D!!!)))",,,,,,,russian,russian
rus_dev_track_a_00074,ё ж твою мать!! чё за фигня? почему?почему?почему?,,,,,,,russian,russian
rus_dev_track_a_00075,теперь можно и уроки идти делать,,,,,,,russian,russian
rus_dev_track_a_00076,"Получила бесплатную колу, посмотрела на эстафету олимпийского огня, поужинала в Шашлыкоffе. День прекрасен",,,,,,,russian,russian
rus_dev_track_a_00077,"все вы так говорите, а потом не перезваниваете:((((",,,,,,,russian,russian
rus_dev_track_a_00078,Чувствую себя отвратительно от мысли о своем эгоизме,,,,,,,russian,russian
rus_dev_track_a_00079,Это был нг,,,,,,,russian,russian
rus_dev_track_a_00080,Вот нахуя так делать.  спасибо блять. будто кислоту выпила.,,,,,,,russian,russian
rus_dev_track_a_00081,Надо будет попробовать через два-три часа,,,,,,,russian,russian
rus_dev_track_a_00082,У меня болит животик:(((((,,,,,,,russian,russian
rus_dev_track_a_00083,Вареники с вишней - это пздц) Шматы цвета гниющей трупнины.,,,,,,,russian,russian
rus_dev_track_a_00084,"#sledui Ааа поздравьте меня, по обществознанию за зачет 5 )",,,,,,,russian,russian
rus_dev_track_a_00085,"Девушки, пожалуйста, прекратите на фото делать утиные губы. Когда же вы поймете, что это НЕКРАСИВО. Спасибо, за внимание.",,,,,,,russian,russian
rus_dev_track_a_00086,Перед моим трамваем авария. Пассажиров высадили. Иду пешком!!!! #пипец #авария #домой,,,,,,,russian,russian
rus_dev_track_a_00087,Опять все пролопоушили!,,,,,,,russian,russian
rus_dev_track_a_00088,завтра сочинение по литературе будем писать. руки трясутся уже сейчас. пожелайте удачи ✌️,,,,,,,russian,russian
rus_dev_track_a_00089,Как хорошо не ходить в шк,,,,,,,russian,russian
rus_dev_track_a_00090,а у меня просто ужас,,,,,,,russian,russian
rus_dev_track_a_00091,мальчикам понравились наши подарки,,,,,,,russian,russian
rus_dev_track_a_00092,Сочинения - заебали,,,,,,,russian,russian
rus_dev_track_a_00093,идите нахуй со своими подарками,,,,,,,russian,russian
rus_dev_track_a_00094,"заболела походу, плохо пипец :(((",,,,,,,russian,russian
rus_dev_track_a_00095,"АААА это было потрясающе!!! концерт длился 2,5 часа! они выходили на бис раза 4) нереальные эмоции!",,,,,,,russian,russian
rus_dev_track_a_00096,вааааййй???за чтоо????почему??как???,,,,,,,russian,russian
rus_dev_track_a_00097,Продавец из McDonalds заправил рубаху в брюки - при этом выглядел непристойно.,,,,,,,russian,russian
rus_dev_track_a_00098,теперь буду смотреть ежедневно!!но увы:НОЧЬЮ!!!(((,,,,,,,russian,russian
rus_dev_track_a_00099,мне страшно и жутко от этой бабушки,,,,,,,russian,russian
rus_dev_track_a_00100,мне вк парень подарок прислал за 10 голосов. Я в шоке. Мы с ним общались 2 раза в 2012 году,,,,,,,russian,russian
