id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
amh_dev_track_a_00001,ሀገራችን ልዩነቶችን አምና ለመቀበል መራራ ትግል ቢጠይቃትም ዘመናት አልፋ ብዝሃነትን በተግባር ለማረጋገጥ የሚያስችል ረጅሙን ጉዞ ጀምራ ነበር፡፡ ጉዞው ብዙ ውጣ ውረድ የበዛበት ቢሆ,,,,,,,NIL,insulted language.
amh_dev_track_a_00002,ሞጣ ሽማግሌ የአመቱ አህያ ዘረኛ ወንዱ ከሆንክ አገር ዉስጥ ገብተህ ታገል ተጋፈጥ ዉጪ አገር ሁነህ አልጋ ስር ተደብቀህ ህዝብ ለህዝብ እሳት ትለኩሳለህ,,,,,,,NIL,imsupportless
amh_dev_track_a_00003,የነብስ አባት ለመያዝ ይቅርና፥ ድንገት መንገድ ላይ ያገኘሁት ቄስ ይሁን ጳጳስ፥ በትግራይ ህዝብ ላይ በተደረገው የዘር ማጥፋት ወንጀል ምን ድርሻ እንደነበረው ሳላውቅ ሳላጣራ የያዘውን,,,,,,,amharic,i would classify the language of this text as amharic.
amh_dev_track_a_00004,ሰማዕታት የዚችን ዓለም ጣዕም በእውነት ናቁ፤ ደማቸውን ስለ እግዚአብሔር አፈሰሱ፤ ስለ መንግሥተ ሰማያት መራራ ሞትን ታገሱ፡፡ የኅሙስ ውዳሴ ማርያም,,,,,,,NIL,ꮳꮃꮣ ሞትንም
amh_dev_track_a_00005,የእስራኤል በደል ለፋልስጤም ብቻ አይደለም አለም ላይ ያለው ግጭት የእስራኤል እጅ አለበት ምክንያቱም አላህ የከዱ ናቸው አመፀኛ ናቸው እራስ ወዳድ ናቸው ስግብግብ ናቸው እውቀታቸውን ለተንኮል ነው የሚጠቀሙት ድል ለፋለስጢን።,,,,,,,NIL,sanskrit
amh_dev_track_a_00006,አማራ ወላይታ ሀድያ ስልጤ ጋሞ ጉራጌ በመሆናቸው ብቻ ነው ቤታቸው እየፈረሰ ያለው ንብረታቸው ይዘረፋል ቤት ለፈረሰባቸው ቤት ማከራየት 50 ሺህ ነው ቅጣቱ እጅግ የከፋ ግፍ ነው,,,,,,,NIL,arabic
amh_dev_track_a_00007,አመለካከት ዝቅጠት ሰሜንን ማዳከም ሰሜን ራሱን በራሱ የሚያዳክም ነው ደረጀ በጣም አልጠበኩም,,,,,,,NIL,afrikaans
amh_dev_track_a_00008,አንዴንድአካባቢወች አትበይ በሁሉ አካባቢነው ጦርነቱ,,,,,,,NIL,arabic
amh_dev_track_a_00009,የአዲስ አበባ ህዝብ ንቃ ተደራጅ መሳርያ ባገኝህው አጋጣሚ መሳርያ ገዝተህ የዝህ አይነት አረመኔን ነቅለህ አስወጣ አብይና ግብረ አበሮቹ ሰብስቦ ጅብ ለቆብሃል,,,,,,,NIL,ethiopic
amh_dev_track_a_00010,የኛ ቀይ ባህር ሁመራ ነው አለችኮ የለመደች ጦጣ ሁልግዜ ፍርጠጣ አለ ያገሬ ሰው ክክያንች ያልነበረን ያንች ያልሆነን መመኘት ቢቀርብሽ ጥሩ ነው  ያንች ቀይ ባህርሽ ሲሆን ለኛ ደገሞ ቀይ መስመራችን ነው ምክኒያቱም የራሳችንን እንደት አሳልፈን መስጠት ከየት የመጣ ነው እነ ቀንድ አውጣዎችም የናተ ታዛዦችም ምንም በአሁኑ ሰዓት በልጆቹ ተጋድሎ ላይመለሱ ተወግደዋል,,,,,,,NIL,ethiopian
amh_dev_track_a_00011,ልብ ይሰብራል ወገኖቼ ለአሁን መድረስ ባለበት የነፍስአድንድጋፍ ላይ እንረባረብ በቦረና የማይቀረው የድርቅአደጋ ባንዣበበት ጊዜ ከብቱ እዚህ የከፋ ደረጃ እስኪደርስ ድረስና,,,,,,,NIL,catalan
amh_dev_track_a_00012,ኦ ምርጥ ሚስት የኔ ቆጆ አንተ አስለቀስካት አ የዋህ ሚስት ሰላምሽ ይብዛ big respect በእውነት አናደኸኛል ይችን የመሰልች ቆንጆ ሚስት ለዛውም የልጅህን እናት ማናደድ ተገቢ አይደለም ። ካሁን በኋላ አታስለቅሳት ፕራንክም ልክ አለው ብሮ በተረፈ ይመቻችሁ አይለያችሁ።,,,,,,,NIL,latin
amh_dev_track_a_00013,ማንቸስተር ዩናይትድ በኒውካስትል ተሸነፈ ምሽቱን በተካሄደው ጨዋታ ባለሜዳዎቹ ኒውካስትል ዩናትዶች ማንቸስተር ዩናትድን 2ለ0 በሆነ ውጤት በማሸነፍ 3 ነጥብ ይዘው ወጥተዋል። ኒውካ,,,,,,,NIL,ምስቱ
amh_dev_track_a_00014,አሀቴ እግዚብሔር መልካም ነው ነብዬ ደረሰ ላቀው ጋ ሄጂ የቤተሰብ ጣጣ ብዙ ነው ጌታ ቀሪ ዘመንሸን የሰላም ይሆናል አመኝኝ,,,,,,,NIL,arabic
amh_dev_track_a_00015,ችሎታህ የማይዋጥላቸው ጠላቶችህ በውሃ ላይ ስትራመድ ቢያዩህ ዋና ስላማይችል ነዉ ይሉሃልጠላቶች መልካም ነገር እንዲገጥምህ በአፋቸው ምኞታቸው እንደሆነ ይገልፁልሃል መልካሙም,,,,,,,NIL,afar
amh_dev_track_a_00016,ከጆ ባይደን የአሜሪካን ትልቅ ሽልማት የተቀበሉት ተመራማሪው ፕ/ር ጋቢሳ ኤጄታ ማን ናቸው?,,,,,,,NIL,ethiopic
amh_dev_track_a_00017,የሰለጠነ ለልጅ ልጅ ጥሩ እያስተላለፉ እናት የሚገማ ፖለቲካ ተናሩ አብታሙ ኮርጅ ሁሌጥላቻ,,,,,,,NIL,latin
amh_dev_track_a_00018,ህብረበሄር የሚጠላ ጌታህ እንጂ እኛ አይደለንም አንተ ህሊናቢስ ከርሳም የኦሮሙማ ገረድ አንተ ቆሻሻ ሰገራ,,,,,,,NIL,ህብረበሄር
amh_dev_track_a_00019,የሳዑዲ ፕሮ ሊግ፡ ክሪስቲያኖ ሮናልዶ የሚመራው የእስያ እግር ኳስ አብዮት,,,,,,,NIL,ethiopic
amh_dev_track_a_00020,ሀጠራው ጋላ የኢትዮጵያን ባንዲራ እየከለከላቹህ ወሬ አታውሩ ሸርሙጣዎች ሸርሙጣ ጣቢያ ተበዱ,,,,,,,NIL,ethiopic
amh_dev_track_a_00021,እነሱ ፈጣጣ አድሏዊ ሲሆኑ የኛ ሰው ለዘሩ ያዳላል ይሉኛል በሚል ይሉኝታ የተጠረነፈ ስለሆነ ነው። የአማራ ብሔረተኝነት ገፍቶ ሄዶ ለህዝቡ ሰቆቃ መድህን መሆን የማይችለው ለዚህ ነው።,,,,,,,NIL,hindi
amh_dev_track_a_00022,ደም የጠማህ ኣረመኔ እንደሰለጠነ ሃስብ,,,,,,,NIL,arabic
amh_dev_track_a_00023,ህዝበ አገሩን ይወዳል አገሩን ሲወድ መንግስትንም ይወዳል አሁን ያለው ጦርነት መልሱ የስላም ድርድር ብቻ ነው ይህንንም ቀውስ ያስነሳው የስይጣኑን ስራ የሚስራው ስይጣኑ ወያኔ ነው ህዝብና ህዝብን መንግስትና ህዝብን የሚያጋጭበት ቕቆረጣ የሚለው ወታደራዊ ስልቱ ነው ህዝብም መንግስትም ይህንን አውቆ ስላሙን ተቀብሎ ህሉም ወደ መኖሪያው እንዲመለስ በስላም ብቻ ነው ኢትዮጵያ ና ህዝቦዎችዋ የሚድኑት ስላም ካለ እግዚአብሔር እለ,,,,,,,NIL,english
amh_dev_track_a_00024,የኢትዮጵያ ኦርቶዶክስ ቤተክርስቲያን በአርሲ 36 ምዕመኖቿ መገደላቸውን አጥብቃ አወገዘች,,,,,,,amharic,amharic
amh_dev_track_a_00025,እኔም አራት ዓይን አለኝ? ጉዳዩ ማሸነፍ ሳይሆን ሌላውንም ማስረዳት ስለሆነ ነው። የተማርኩ ነኝና ዕውቀቴን ራሴ ላይ እንደ ንህስና ደፍቼ ልታይበት ጉራ አይነፋም። መማር ማስተማር ከሌለው ባዶነት ነው።,,,,,,,NIL,latin
amh_dev_track_a_00026,ሸዋን አትነካኩት ካለበት ይቀመጥ ቀን የከፋ ጊዜ ያወጣል ከረመጥ አማራ ሸዋ,,,,,,,NIL,eλληνικά
amh_dev_track_a_00027,አሜሪካ ዜጎቿ ወደ ሜክሲኮ እንዳይጓዙ ማሳሰቢያ ሰጠች,,,,,,,NIL,irrish
amh_dev_track_a_00028,ናና ተዋጋ አተላ ነህ ይሄን ያህል የበከተ የበታችነት ስቃይ የማንነት ቀውስ እሚያሰቃይህ ሰው እማትመስል አስቀያሚ ሴጣን እከክ ነህ,,,,,,,NIL,"i'm sorry, but i can not translate this text."
amh_dev_track_a_00029,ኢላን መስክ የኤክስ ተጠቃሚዎች ሌላ ሰው ‘ብሎክ’ እንዳያደርጉ አደርጋለሁ አለ,,,,,,,NIL,ethiopic
amh_dev_track_a_00030,ሁለተኛው ትውልድ ኢትዮጵያን ቢጎበኝ ጥሩ ነው የሚኖሩበትን አገር እንዲያደንቁ ይረዳቸዋል የኢትዮጵያ ህዝብ እንዴት በመንግስት እየተገዛ እንዳለም ግንዛቤ ይኖራቸዋልበተቃራኒው በሙስና እና ግድያ ምክንያት በኢትዮጵያ ላይ አሉታዊ አመለካከት ሊኖራቸው ይችላል,,,,,,,NIL,ሁለተኛው
amh_dev_track_a_00031,“በቤተ ክርስቲያኗ እና በምዕመኖቿ ላይ የሚፈጸመው በምድርም ሆነ በሰማይ የሚያስጠይቅ ነው” ፡ ሲኖዶስ,,,,,,,NIL,መስር (ethiopian)
amh_dev_track_a_00032,ድሮም መንጌ ደንቆሮ የሚተነብይላት ሃገር ኤጭ። መንጌ ረጅም እድሜ የቆየው ግን ደደደብ ስለሆነ ነው። ኣሁንም 80 ዓመት ሊጨምር ይችላል,,,,,,,NIL,hindi
amh_dev_track_a_00033,የመሪ ክብሩ የተቀመጠበት ወንበሩ ወይም አመዳም ገላውን ሊሸፍን የለበሰው ሱፉ አይደለም።የመሪ ክብሩ ህዝቡ ነው። ህዝብን የናቀ መሪ አወዳደቁ የከፋ ነው። ህዝቡን ስሙት!,,,,,,,NIL,somalian
amh_dev_track_a_00034,ፓትርያርኩ ለኢትዮጵያ የደህንነት፤ ለምዕመናን የድኅነት ስጋት ናቸው። ከዚህ በላይ ፀረ ቤተ ክርስቲያን ምን አለ? በዚህ ወቅት ለዚህ እኩይ ሀሳብ ያጨበጨባች,,,,,,,NIL,euskara
amh_dev_track_a_00035,በሽተኛ አቢይ አህመድ ኦሮሞ ነኝ ማለቱ ለኦሮሞ ሕዝብ ክብር ሳይሆን እጅግ ሊጠየፉት የሚገባ አተላ ነውእርግጥ ጃዋር 2ቱ ሌንጮዎች ዲማ መራራ በቀለ ገር,,,,,,,NIL,ethiopia
amh_dev_track_a_00036,የታስሩት ተፍቱልህ ጁ ባይደን እንኳን ደስ አለህ,,,,,,,NIL,i'm sorry but i cannot provide a translation for the given text as it contains a character set that is not widely supported or recognized by my systems.
amh_dev_track_a_00037,ለምን ስሜታዊ መሆን አስፈለገ አሁንም ማን ይሙት ለሰላሳ አመት የተጠነሰስውን ባንድ ጀንበር ጥቅልል እድርጎ ለእብይ መርገም እርግማን አይሆን,,,,,,,NIL,espanol
amh_dev_track_a_00038,የቀድሞው የአንጎላ መሪ ልጅ የ15 ሚሊዮን ዶላር ቤቷን አፍርሳ ልትገነባ ነው,,,,,,,NIL,ethiopic
amh_dev_track_a_00039,እነዚህ በፈረንጅ missionaries ተምረው አሁን ደግሞ በግብፅ ተገዝተው ነው የኢትዩጽያን መከራ የሚያበዙት።,,,,,,,NIL,ethiopic
amh_dev_track_a_00040,ክቡሩ አንባሳደር ሬዱዋን ለሀገር የምትሰሩት በሙሉ እናመሰግናለን እኔ ግን በሳውዲ እስር ቤት ላሉ ኢትዮዮጵያን መላ ብታበጅ,,,,,,,amharic,"i'll attempt to classify the language of the given text.

after analyzing the text, i would say that the language is amharic. here's why:

* the text uses a unique alphabet (also known as ge'ez script) which is specific to the ethiopian languages.
* the grammar and sentence structure are similar to those found in traditional ethiopian literature and poetry.
* the vocabulary and idioms used appear to be characteristic of amharic, with phrases like ምትሰሩት (ግዚቦቲን) meaning ""to make good"" or ""to do well"", which is a common expression in amharic.

please note that language classification can be complex and nuanced, and there may be some overlap between languages. however, based on the analysis provided, amharic seems to be a strong candidate for the language of this text."
amh_dev_track_a_00041,እረ ፕራንክ ምታረጉትን ነገር እየለያችሁ በጣም እኮ ነዉ ያስለቀስካት,,,,,,,NIL,mandarin chinese
amh_dev_track_a_00042,የነፃነት ትግሉ ከረቂቅ እስከ ደቂቅ ያሳተፈ ነው ጀግናው ሠራዊታችን አባል የሆነው ዶር ህዝብህን ለማገልገል እስከ ሕይወት መስዋትነት የሰጠህ ጀግናችን ዕድሜና ጤና ተመኘን,,,,,,,NIL,hindi
amh_dev_track_a_00043,አይ EBC የብልፅግና ማይከ እንደሆናችሁ ትኖሩ። የዜጎቻችን ሞት ና ራብ አንዲት ቀን አትዘግቡም። ስለ አሜሪካ ውሻ መንከስ ምን አገባን።,,,,,,,NIL,nepali
amh_dev_track_a_00044,እኔም በጣም አመሰግንሃለሁ! ምክንያቱም ለኦሮሞ ህዝብ ጥላቻ መንግስትን ኦሮሙማ ተረኛ እያልሽ ከነባልደረቦችሽ ስትሳደቡ በቅናት ስትለፈልፉ የነበረው የኦሮሞን ህዝብ ከዳር እስከ ዳር አነቃቅተዉ አንድ ስላደረገው ይበልጥ ልፋታቹ እናንተ እንዳሰባቹት ሳይሆን ነገሩ ወዲህ ነው። የቆጡን አዉርድ ብላ የብብብቷን ጣለች ነው ነገሩ,,,,,,,NIL,ethiopic
amh_dev_track_a_00045,ኢትዮጵያ ድንገት በተጠቃች ጊዜ፣ የመጨረሻው መጀመሪያ የተቃረበ በመሰለ ጊዜ፣ ከእኔ ሌላ ማን አላት ብላችሁ በጊዜ፣ በገንዘብ፣ በቁሳቁስና በአድቮኬሲ ለደገፋችሁ በዳያስፖራ ለምትገኙ ለ,,,,,,,NIL,erga
amh_dev_track_a_00046,ድሮስ የነጭ አምላኪዎች የነስብሐት ልጅ አደል እኔ ኮ ግሮም ሚለኝ ይህ ሀሉ ውሸት ለምን ።,,,,,,,NIL,ethiopic
amh_dev_track_a_00047,ፋኖ ጣሊያናዉይ መሠላችሁ ከአማራ ህዝብ የወጣ የአማራ ማንነት እየተቀላ ሸቶ ሲቀበር እንደሠዉ መኖር አልችል ሲል የተነሣ ቆፍጣና ሀይል እንጂ ቅጥረኛ መድረሻ ያጣ ወታደር አይደለም አንድ ኢትዮጲያ ምርጥ መርህ ይዛ ባረባ ፖለቲካ ተደልሎ አይቆምምም,,,,,,,NIL,hindi
amh_dev_track_a_00048,አይደለም አማራ ማንም ኢትዮጵያዊ መሞት የለበትም ስሜታዊ አንሁን።,,,,,,,NIL,arabic
amh_dev_track_a_00049,እስራኤል ‘አሸባሪ አገር’ ናት ያለችው አየርላንዳዊት ከሥራ ተባረረች,,,,,,,NIL,ethiopic
amh_dev_track_a_00050,እኔ የማመልከው እግዚአብሔር ብቻ ነው እኔ ቀናተኛ አምላክ ነኝ ላለው ፈጣሪየ ብቻ ነው የምሰግደው❤🙏,,,,,,,NIL,arabic
