id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
ptbr_dev_track_a_00001,ele me passou o numero dele dps vamos sair geral,,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00002,"Eu n sou o com quem vc conversava, só fui mostrar q o STF tá s mandando investigar todos os lados, mas já q agora vc tá conversando com três users sobre o mesmo assunto, saiba q eu apoio s e agora vc apoia também já q vc disse ""só concordo se você apoiar que o STF mande investigar e prender anti-sistema de todos os lados"", então agora vc pode dizer q acha o Bolsonaro antidemocracia.",,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00003,"Gol cagado de bate rebate, numa falta mequetrefe. Alguém amaldiçoou nosso segundo tempo...",,,,,,,portugese,{portugese}
ptbr_dev_track_a_00004,"puta merda eu também, toda vez que eu vejo to falando disso com alguém com um sorrisão na cara",,,,,,,NIL,"based on the given text, i would classify it as portuguese. therefore, the language of the text is {portuguese}."
ptbr_dev_track_a_00005,"Sempre irão aparecer pessoas assim, mas cabe a vc afastar essas pessoas, e o melhor remédio pra isso é ser totalmente honesto, perca uma ""amizade"" mas não gaste seus valores com que não retorna o investimento",,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00006,"Quero chegar em um Patamar que eu vá fazer uma compra e quando o vendedor falar o preço, eu diga igual o Lucas Lira:  ""eu não tô procurando o melhor custo benefício, estou procurando a melhor opção""",,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00007,"13. Quando você me perguntar se está tudo bem e eu disser que sim, não pense que não confio em você. Na minha cabeça, você pode parar de me enxergar como uma pessoa gentil, divertida e tranquila se souber a verdade.",,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00008,"Péssimo em que sentido? Dizem que sessões produtivas, normalmente, geram angústia.",,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00009,"E nós que podemos ter perdido uma Greta Thunberg cruelmente assasinada por   Ághata nossa Menina Maravilha tinha apenas 8 anos seu discurso era apenas a boneca Mônica, mas quem poderá afirmar ao contrário que aos 16 anos trocaria Mônica pela bandeira de um mundo mais justo e sustentável.",,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00010,tá muito linda pqp,,,,,,,NIL,"based on the given text ""tá mucho linda pqp"", i would classify it as portuguese. therefore, the language of the text is {portuguese}."
ptbr_dev_track_a_00011,vacilação é lixo kkkk,,,,,,,NIL,"based on the given text, i would classify it as {portuguese}."
ptbr_dev_track_a_00012,Esperando o comentário de alguém falando pra mina terminar o namoro,,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00013,Eu que não votei os demais que não votarão pagar o pato,,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00014,"Não entendi, explique pois estou curioso.",,,,,,,NIL,{english}
ptbr_dev_track_a_00015,"MORTA E O KAWAII N PODIA VIR SEM O "":3"" Bicha 0 orgulho acredita q quase chorei quando eu achei q Erza morreu? Ainda bem q n tive filhos nessa época iam todos se chamar natsu gray e erza luci o q tenho a ver",,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00016,o seu pai tá almoçando........,,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00017,Isso n é o spin off?,,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00018,"mano, Deus me quer perto da minha família e dos meus amigos mesmo, pq se eu ganho qualquer quantia suficiente p sumir desse mapa eu vou sem pensar 2x",,,,,,,NIL,"based on the given text, i would classify it as portuguese. therefore, the language of the text is {portuguese}."
ptbr_dev_track_a_00019,"Faz sentido... Ctz que vai rever o ban do Trump, por exemplo...  Vamos ficar dando palco e batendo palma pra maluco dançar, afinal de contas, the show ""musk"" go on",,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00020,Deve ser porque Jesus mandou...,,,,,,,NIL,{portuguese}
ptbr_dev_track_a_00021,está comprovadissimo que o carioca da gema não sente frio tá fazendo 20° e eu estou com 3 casacos,,,,,,,NIL,"based on the given text, i would classify the language as portuguese. therefore, the language of the text is {portuguese}."
ptbr_dev_track_a_00022,orgulho de conseguir ver esse concurso por outro angulo ..,,,,,,,NIL,"based on the given text, i would classify it as {portuguese}."
ptbr_dev_track_a_00023,se o deyverson for titular amanhã vai tomar no cu né,,,,,,,portugese,"based on the given text, i would classify it as {portugese}."
ptbr_dev_track_a_00024,"Eu li direito?! SUSPEITOS!? Mas todos, segundo a constituição, não são INOCENTES até prova ao contrário? Vou ai perguntar a algum jurista...",,,,,,,NIL,{portuguese}
