id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
sun_dev_track_a_00001,"Aa aa salam kenal nya,ti abi 🙋 sumpah kot piseurieun 😂😂😂lucuu . Sing sukses nya aa aa😊👌",,,,,,,NIL,bahasa ini adalah bahasa melayu.
sun_dev_track_a_00002,"#Fauzi88Chanel hadir mang ti bogor kulon,Leuwiliang hebat deuh nu rek konser,tpi punten teu tiasa datang ka bandung,tebih euy ngadukung wae mang Dana",,,,,,,NIL,indonesian
sun_dev_track_a_00003,Aslina ngakak kang. Teruskeun part salanjutna 🔥🔥🔥,,,,,,,NIL,{assalamu'alaikum}
sun_dev_track_a_00004,"Artis,artis naon nu resep lauk? Jawab:kucinta tuna.😎😎😂",,,,,,,NIL,yogur
sun_dev_track_a_00005,"Awas mang tong hilap nya ka Bogor. Mun hante urang di adu, getih Sunda yeh. hahaha salam goblog",,,,,,,NIL,indonesian
sun_dev_track_a_00006,"Ceuk urang mah jelema goblog teh "" dahar bubur di sanguan""😂😂😂",,,,,,,NIL,bahasa indonesia
sun_dev_track_a_00007,Kang tanyakeun ka ghina atos aya kabogoh acan? 😂,,,,,,,NIL,"i'm not sure what language this is from, but i can take a guess. based on the content and tone of the text, i would say that it's likely to be a dialect or variation of tagalog, which is the official language of the philippines. the use of the phrase ""kabogoh"" seems to be a colloquialism commonly used in filipino culture.

however, without more context or information about the specific region or community this text comes from, it's difficult to say for certain what language it is from. if you have any additional context or clarification, i may be able to provide a more informed response."
sun_dev_track_a_00008,Carita awalna kumaha jol jd youtuber teh mang?,,,,,,,NIL,bahasa indonesia
sun_dev_track_a_00009,2:37 Uyuhan teu ti Jungkeul oge eta si aa na 🤣,,,,,,,NIL,polish
sun_dev_track_a_00010,"Alhamdulillah mang bisa d ajak maen film, lanjutkeun mang sing SUKSES 👍👍 tong hilap kana basa SUNDA na d lestarikeun",,,,,,,NIL,bahasa ini adalah bahasa indonesia.
sun_dev_track_a_00011,"Awak joged, tp hate ambyar, bari jeung teu paham lirik :(",,,,,,,NIL,malaysian
sun_dev_track_a_00012,A=jang naha mundur😓 B=percuma maju ge di tikung wae😟 A=sabar nya jang 😢 🚶🚶🚶Lagu; Urang mundur lalaunan urang sadar urang saha #salam_ti Cibadak Bandung,,,,,,,NIL,"bahasa
 lagu"
sun_dev_track_a_00013,"Anak betawi gak sabar nih, ngadangokeun",,,,,,,NIL,indonesian
sun_dev_track_a_00014,Abi mah resep di kampung tapi nu sinyal na 5g aya teu nya ? 😅,,,,,,,NIL,{indonesian}
