id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise,prediction,raw_response
sun_dev_track_a_00001,"Aa aa salam kenal nya,ti abi 🙋 sumpah kot piseurieun 😂😂😂lucuu . Sing sukses nya aa aa😊👌",,,,,,,NIL,"based on the given text, i would classify it as:

{english}"
sun_dev_track_a_00002,"#Fauzi88Chanel hadir mang ti bogor kulon,Leuwiliang hebat deuh nu rek konser,tpi punten teu tiasa datang ka bandung,tebih euy ngadukung wae mang Dana",,,,,,,NIL,"based on the given text, i would classify it as indonesian. therefore, the language of the text is {indonesian}."
sun_dev_track_a_00003,Aslina ngakak kang. Teruskeun part salanjutna 🔥🔥🔥,,,,,,,NIL,{language: afrikaans}
sun_dev_track_a_00004,"Artis,artis naon nu resep lauk? Jawab:kucinta tuna.😎😎😂",,,,,,,NIL,"based on the given text, i would classify it as:

{bahasa indonesia}"
sun_dev_track_a_00005,"Awas mang tong hilap nya ka Bogor. Mun hante urang di adu, getih Sunda yeh. hahaha salam goblog",,,,,,,NIL,"based on the given text, i would classify the language as indonesian or bahasa indonesia. therefore, the language of the text is:

indonesian"
sun_dev_track_a_00006,"Ceuk urang mah jelema goblog teh "" dahar bubur di sanguan""😂😂😂",,,,,,,NIL,"sure! based on the given text, i would classify it as {bahasa indonesia}."
sun_dev_track_a_00007,Kang tanyakeun ka ghina atos aya kabogoh acan? 😂,,,,,,,NIL,{oromo}
sun_dev_track_a_00008,Carita awalna kumaha jol jd youtuber teh mang?,,,,,,,NIL,"based on the given text, i would classify it as {somali}."
sun_dev_track_a_00009,2:37 Uyuhan teu ti Jungkeul oge eta si aa na 🤣,,,,,,,NIL,{oromo}
sun_dev_track_a_00010,"Alhamdulillah mang bisa d ajak maen film, lanjutkeun mang sing SUKSES 👍👍 tong hilap kana basa SUNDA na d lestarikeun",,,,,,,NIL,{malay}
sun_dev_track_a_00011,"Awak joged, tp hate ambyar, bari jeung teu paham lirik :(",,,,,,,NIL,"based on the given text, i would classify the language as ""bahasa indonesia""."
sun_dev_track_a_00012,A=jang naha mundur😓 B=percuma maju ge di tikung wae😟 A=sabar nya jang 😢 🚶🚶🚶Lagu; Urang mundur lalaunan urang sadar urang saha #salam_ti Cibadak Bandung,,,,,,,NIL,{bahasa indonesia}
sun_dev_track_a_00013,"Anak betawi gak sabar nih, ngadangokeun",,,,,,,NIL,"based on the given text, i would classify it as {somali}."
sun_dev_track_a_00014,Abi mah resep di kampung tapi nu sinyal na 5g aya teu nya ? 😅,,,,,,,NIL,"based on the given text, i would classify it as indonesian. the language of the text is: {indonesian}"
sun_dev_track_a_00015,Adeuh meni genaheun pisan ti cimahi ngarojong,,,,,,,NIL,"based on the given text, i would classify it as ""afrikaans""."
sun_dev_track_a_00016,Aya nu ngadengekeun di tahun 2020?😂,,,,,,,NIL,{language: somali}
sun_dev_track_a_00017,0:52 pas pisan jg kaayaan urang ayna😞,,,,,,,NIL,"the text you provided is written in somali, so the language of the text is {somali}."
sun_dev_track_a_00018,Bnrrr ieu mah banyak a NU kasar,,,,,,,NIL,"based on the given text, i can confidently classify it as ""malay"". therefore, the language of the text is {malay}."
sun_dev_track_a_00019,Anu Sunda nteu bisa bahasa Sunda saha?? 🖐️😂,,,,,,,NIL,{bahasa indonesia}
sun_dev_track_a_00020,Anjirrrr urang tinggaleun kitu ieu euy,,,,,,,NIL,"based on the given text, i would classify it as {oromo}."
sun_dev_track_a_00021,"Alhamdulillah mang, wah terharu pisan ningalina ke ge bakal ngalaman nu kawas kitu. Mugia disehatkeun mang dilancarkeun rezekina 😁",,,,,,,NIL,{language} - indonesian
sun_dev_track_a_00022,"Aduh ieuh kenangan terindah u di lakuken ker smp,",,,,,,,NIL,"based on the given text, i would classify it as indonesian. therefore, the language of the text is {indonesian}."
sun_dev_track_a_00023,Aya cai ker mandi Aya jamban di palih ditu Ai sedih ka abdi Ai jadianana jeng si itu,,,,,,,NIL,"based on the given text, i would classify the language as indonesian. therefore, the answer is: {indonesian}"
sun_dev_track_a_00024,"Aduhh si dede"" piraku jomblo mang taun taun kuat.puasa sa bulan teu kuat, ""🤣🤣 haturan mang fiksi di antos kaos urang sunda na.nu benten warna na hee",,,,,,,NIL,"based on the given text, i would classify it as indonesian. therefore, the language of the text is {indonesian}."
sun_dev_track_a_00025,Aduhh mni endah pisan ngadangukeun na,,,,,,,NIL,"based on the given text, i would classify it as ""somali""."
sun_dev_track_a_00026,Aing pisan lagu ieu mah :(,,,,,,,NIL,{english}
sun_dev_track_a_00027,"Absen ah ti majalaya Kp. Curug dedes, bumi abi anu ka tilu asup gang lio🤣🤣🤣",,,,,,,NIL,"based on the given text, i would classify it as {amharic}."
sun_dev_track_a_00028,Eta di jalan anyar lain mang?,,,,,,,NIL,"based on the given text, i would classify it as ""malay"". therefore, the language of the text is {malay}."
sun_dev_track_a_00029,Aya poho sagala atuh mang haha,,,,,,,NIL,"ah, an interesting text you have there! after analyzing the given sentence, i can confidently say that the language of this text is... somali! 🇸🇴"
sun_dev_track_a_00030,4:20 Anjir asli ieu mang kendang na make galon?? Sora na meni ngeunah kitu euy,,,,,,,sundanese,"i apologize, but i cannot determine the language of the given text with certainty. the text appears to be in a mix of languages, with words and phrases from different languages. here is a breakdown of the possible languages based on the provided text:

* ""anjir"" could be either amharic or somali, as both languages use this word for ""milk"".
* ""asli"" could be either afaan oromo (oromo language) or somali.
* ""ieu mang"" could be either tigrinya or somali.
* ""kendang"" could be either javanese or sundanese.
* ""na make galon"" could be either indonesian or malay.
* ""sora na meni ngeunah kitu euy"" appears to be in a mix of languages, with possible influences from amharic, somali, and oromo.

based on this analysis, i cannot confidently identify the language of the given text. please provide more context or information if you would like me to make a more informed assessment."
sun_dev_track_a_00031,A piksi baju nu alit aya te?,,,,,,,NIL,{language: somali}
sun_dev_track_a_00032,"Ya maaf , ulah kuis atuh lieur ngitung na atuh da",,,,,,,NIL,"based on the given text, i would classify it as {somali}."
sun_dev_track_a_00033,"Antara bungah jng sedih duh ,bangga jadi orang sunda . Hatur nuhun a fiksi anu ngagedekeun ngaran sunda",,,,,,,sundanese,"based on the given text, i would classify it as sundanese. therefore, the language of the text is {sundanese}."
sun_dev_track_a_00034,"Asik, lagu favorit uranng iyeu euy ti kang ebith beat a. Mantep mang, minal aidin walfaidzin btw, mohon maaf lahir dan batin nya mangs, hampura bisi urang sok komen anu teu ngeunah di hate 🙏🙏🙏😊😊😊",,,,,,,NIL,{english}
